NOM,province
ALT CAMP,Tarragona
ALT EMPORDA,Girona
ALT PENEDES,Barcelona
ALT URGELL,Lleida
ALTA RIBAGORÇA,Lleida
ANOIA,Barcelona
BAGES,Barcelona
BAIX CAMP,Tarragona
BAIX EBRE,Tarragona
BAIX EMPORDA,Girona
BAIX LLOBREGAT,Barcelona
BAIX PENEDES,Tarragona
BARCELONES,Barcelona
BERGUEDA,"Barcelona, Lleida"
CERDANYA,"Girona, Lleida"
CONCA DE BARBERA,Tarragona
GARRAF,Barcelona
GARRIGUES,Lleida
GARROTXA,Girona
GIRONES,Girona
MARESME,Barcelona
MOIANÈS,Barcelona
MONTSIA,Tarragona
NOGUERA,Lleida
OSONA,"Barcelona, Girona"
PALLARS JUSSA,Lleida
PALLARS SOBIRA,Lleida
PLA D'URGELL,Lleida
PLA DE L'ESTANY,Girona
PRIORAT,Tarragona
RIBERA D'EBRE,Tarragona
RIPOLLES,Girona
SEGARRA,Lleida
SEGRIA,Lleida
SELVA,"Barcelona, Girona"
SOLSONES,Lleida
TARRAGONES,Tarragona
TERRA ALTA,Tarragona
URGELL,Lleida
VALL D'ARAN,Lleida
VALLES OCCIDENTAL,Barcelona
VALLES ORIENTAL,Barcelona
