"date","year","NOM","cases_N","pred","LPB0.025","LPB0.05","LPB0.25","UPB0.75","UPB0.95","UPB0.975"
2020-07-06,2020,"ALT PIRINEU I ARAN",1.28571428571429,0.0692301500858381,0,0,0,0,1,1
2020-07-07,2020,"ALT PIRINEU I ARAN",1.28571428571429,0.0776709316388395,0,0,0,0,1,1
2020-07-08,2020,"ALT PIRINEU I ARAN",1.28571428571429,0.0781528662569425,0,0,0,0,1,1
2020-07-09,2020,"ALT PIRINEU I ARAN",1.28571428571429,0.0875196326064048,0,0,0,0,1,1
2020-07-10,2020,"ALT PIRINEU I ARAN",1.28571428571429,0.128220821815314,0,0,0,0,1,1
2020-07-11,2020,"ALT PIRINEU I ARAN",1.28571428571429,0.135858679243504,0,0,0,0,1,1
2020-07-12,2020,"ALT PIRINEU I ARAN",0,0.197116477348942,0,0,0,0,1,2
2020-07-13,2020,"ALT PIRINEU I ARAN",0,0.226710337698613,0,0,0,0,1,2
2020-07-14,2020,"ALT PIRINEU I ARAN",0,0.226735469905726,0,0,0,0,1,2
2020-07-15,2020,"ALT PIRINEU I ARAN",0,0.236789759258348,0,0,0,0,1,2
2020-07-16,2020,"ALT PIRINEU I ARAN",0,0.24396128972016,0,0,0,0,1,2
2020-07-17,2020,"ALT PIRINEU I ARAN",0,0.199511283881264,0,0,0,0,1,2
2020-07-18,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.195782665022102,0,0,0,0,1,2
2020-07-19,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.166025281906689,0,0,0,0,1,1
2020-07-20,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.162602139421059,0,0,0,0,1,1
2020-07-21,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.162572593904134,0,0,0,0,1,1
2020-07-22,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.160763310648181,0,0,0,0,1,2
2020-07-23,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.151347573995218,0,0,0,0,1,1
2020-07-24,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.172078815681764,0,0,0,0,1,2
2020-07-25,2020,"ALT PIRINEU I ARAN",0,0.194630655478364,0,0,0,0,1,2
2020-07-26,2020,"ALT PIRINEU I ARAN",0,0.197018830927506,0,0,0,0,1,2
2020-07-27,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.177733249178012,0,0,0,0,1,2
2020-07-28,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.175566515674726,0,0,0,0,1,2
2020-07-29,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.170139877686988,0,0,0,0,1,2
2020-07-30,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.170109018115116,0,0,0,0,1,1
2020-07-31,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.1776043167978,0,0,0,0,1,2
2020-08-01,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.151189127793607,0,0,0,0,1,1
2020-08-02,2020,"ALT PIRINEU I ARAN",0.142857142857143,0.154812104370147,0,0,0,0,1,1
2020-08-03,2020,"ALT PIRINEU I ARAN",0,0.154829441825816,0,0,0,0,1,1
2020-08-04,2020,"ALT PIRINEU I ARAN",0,0.151195580064317,0,0,0,0,1,1
2020-08-05,2020,"ALT PIRINEU I ARAN",0,0.168125268858215,0,0,0,0,1,1
2020-08-06,2020,"ALT PIRINEU I ARAN",0,0.168144063106123,0,0,0,0,1,2
2020-08-07,2020,"ALT PIRINEU I ARAN",0,0.165793638701771,0,0,0,0,1,2
2020-08-08,2020,"ALT PIRINEU I ARAN",0,0.178982853756843,0,0,0,0,1,2
2020-08-09,2020,"ALT PIRINEU I ARAN",0,0.154595752992664,0,0,0,0,1,1
2020-08-10,2020,"ALT PIRINEU I ARAN",0,0.161539121033717,0,0,0,0,1,1
2020-08-11,2020,"ALT PIRINEU I ARAN",0,0.200915746712975,0,0,0,0,1,2
2020-08-12,2020,"ALT PIRINEU I ARAN",0,0.196955935525475,0,0,0,0,1,2
2020-08-13,2020,"ALT PIRINEU I ARAN",0,0.197946352464726,0,0,0,0,1,2
2020-08-14,2020,"ALT PIRINEU I ARAN",0,0.252316533110214,0,0,0,0,1,2
2020-08-15,2020,"ALT PIRINEU I ARAN",0,0.278667307885082,0,0,0,0,2,2
2020-08-16,2020,"ALT PIRINEU I ARAN",0,0.334621563351566,0,0,0,0,2,2
2020-08-17,2020,"ALT PIRINEU I ARAN",0,0.426049537079274,0,0,0,1,2,3
2020-08-18,2020,"ALT PIRINEU I ARAN",0,0.529125834591614,0,0,0,1,2,3
2020-08-19,2020,"ALT PIRINEU I ARAN",0,0.647505353981292,0,0,0,1,3,4
2020-08-20,2020,"ALT PIRINEU I ARAN",0,0.669591528896491,0,0,0,1,3,3.02499999999964
2020-08-21,2020,"ALT PIRINEU I ARAN",0,0.758898510262817,0,0,0,1,3,4
2020-08-22,2020,"ALT PIRINEU I ARAN",0,0.787169314275677,0,0,0,1,3,4
2020-08-23,2020,"ALT PIRINEU I ARAN",0,0.849720090248032,0,0,0,1,3,4
2020-08-24,2020,"ALT PIRINEU I ARAN",0,0.937892553783073,0,0,0,1,4,5
2020-08-25,2020,"ALT PIRINEU I ARAN",0,1.08922586905052,0,0,0,2,4,5
2020-08-26,2020,"ALT PIRINEU I ARAN",0,1.14495198396129,0,0,0,2,4,6
2020-08-27,2020,"ALT PIRINEU I ARAN",0,1.20565076705548,0,0,0,2,5,6
2020-08-28,2020,"ALT PIRINEU I ARAN",0,1.12394683025373,0,0,0,2,4,5
2020-08-29,2020,"ALT PIRINEU I ARAN",0,1.21958514637794,0,0,0,2,5,6
2020-08-30,2020,"ALT PIRINEU I ARAN",0,1.28167884496713,0,0,0,2,5,6
2020-08-31,2020,"ALT PIRINEU I ARAN",0,1.1772633173328,0,0,0,2,4,6
2020-09-01,2020,"ALT PIRINEU I ARAN",0,1.09876421474033,0,0,0,2,4,6
2020-09-02,2020,"ALT PIRINEU I ARAN",0,0.975598005123735,0,0,0,1,4,5
2020-09-03,2020,"ALT PIRINEU I ARAN",0,0.988656660397102,0,0,0,1,4,5
2020-09-04,2020,"ALT PIRINEU I ARAN",0.714285714285714,1.00284805158074,0,0,0,2,4,5
2020-09-05,2020,"ALT PIRINEU I ARAN",0.714285714285714,1.01530498913865,0,0,0,2,4,5
2020-09-06,2020,"ALT PIRINEU I ARAN",1.85714285714286,0.97178379116596,0,0,0,1,4,5
2020-09-07,2020,"ALT PIRINEU I ARAN",1.85714285714286,0.990821966276355,0,0,0,1,4,5
2020-09-08,2020,"ALT PIRINEU I ARAN",1.85714285714286,0.805260902339691,0,0,0,1,3,4
2020-09-09,2020,"ALT PIRINEU I ARAN",1.85714285714286,0.898864418512014,0,0,0,1,4,5
2020-09-10,2020,"ALT PIRINEU I ARAN",2,0.813966955573682,0,0,0,1,3,4
2020-09-11,2020,"ALT PIRINEU I ARAN",1.57142857142857,1.13251441255668,0,0,0,2,4,5
2020-09-12,2020,"ALT PIRINEU I ARAN",1.57142857142857,1.14682710542609,0,0,0,2,5,6
2020-09-13,2020,"ALT PIRINEU I ARAN",0.428571428571429,1.54421440783333,0,0,0,2,6,7
2020-09-14,2020,"ALT PIRINEU I ARAN",0.571428571428571,1.71878337907152,0,0,0,3,6,7
2020-09-15,2020,"ALT PIRINEU I ARAN",1.14285714285714,1.69951307225097,0,0,0,2,6,8
2020-09-16,2020,"ALT PIRINEU I ARAN",1.14285714285714,1.62151470013432,0,0,0,2,6,8
2020-09-17,2020,"ALT PIRINEU I ARAN",1,1.65773859793311,0,0,0,2,6,8
2020-09-18,2020,"ALT PIRINEU I ARAN",0.714285714285714,1.65776904211256,0,0,0,3,7,8
2020-09-19,2020,"ALT PIRINEU I ARAN",0.714285714285714,2.59324455946211,0,0,0,4,9,12
2020-09-20,2020,"ALT PIRINEU I ARAN",0.714285714285714,2.33636923610672,0,0,0,3,9,11
2020-09-21,2020,"ALT PIRINEU I ARAN",0.714285714285714,2.28013154433929,0,0,0,3,8,11
2020-09-22,2020,"ALT PIRINEU I ARAN",0.142857142857143,2.51315842994173,0,0,0,4,10,12
2020-09-23,2020,"ALT PIRINEU I ARAN",0.142857142857143,2.44262037314493,0,0,0,4,9,11.0249999999996
2020-09-24,2020,"ALT PIRINEU I ARAN",0.142857142857143,2.43062543154514,0,0,0,3,9,11
2020-09-25,2020,"ALT PIRINEU I ARAN",0.142857142857143,2.21130305157495,0,0,0,3,8,10
2020-09-26,2020,"ALT PIRINEU I ARAN",0.142857142857143,1.19017617780142,0,0,0,2,5,6
2020-09-27,2020,"ALT PIRINEU I ARAN",0.142857142857143,1.17950518416002,0,0,0,2,5,6
2020-09-28,2020,"ALT PIRINEU I ARAN",0,1.21551086998736,0,0,0,2,5,6
2020-09-29,2020,"ALT PIRINEU I ARAN",0,1.04964874686299,0,0,0,2,4,5
2020-09-30,2020,"ALT PIRINEU I ARAN",0,1.06157925121466,0,0,0,2,4,5
2020-10-01,2020,"ALT PIRINEU I ARAN",0,1.08442439631146,0,0,0,2,4,5
2020-10-02,2020,"ALT PIRINEU I ARAN",0,1.20579018001563,0,0,0,2,5,6
2020-10-03,2020,"ALT PIRINEU I ARAN",0,1.31004716022337,0,0,0,2,5,6
2020-10-04,2020,"ALT PIRINEU I ARAN",0.142857142857143,1.18236299663547,0,0,0,2,4,6
2020-10-05,2020,"ALT PIRINEU I ARAN",1.28571428571429,1.03729188209188,0,0,0,2,4,5
2020-10-06,2020,"ALT PIRINEU I ARAN",1.28571428571429,1.38016397056581,0,0,0,2,5,6
2020-10-07,2020,"ALT PIRINEU I ARAN",1.28571428571429,1.36152066526616,0,0,0,2,5,7
2020-10-08,2020,"ALT PIRINEU I ARAN",1.28571428571429,1.37640136917006,0,0,0,2,5,6
2020-10-09,2020,"ALT PIRINEU I ARAN",1.28571428571429,1.30313591419206,0,0,0,2,5,6
2020-10-10,2020,"ALT PIRINEU I ARAN",1.71428571428571,1.44100474294772,0,0,0,2,5,7
2020-10-11,2020,"ALT PIRINEU I ARAN",1.71428571428571,1.56701612413473,0,0,0,2,6,7
2020-10-12,2020,"ALT PIRINEU I ARAN",0.571428571428571,1.7314204452331,0,0,0,2,6,8
2020-10-13,2020,"ALT PIRINEU I ARAN",0.571428571428571,1.42891836193225,0,0,0,2,5,7
2020-10-14,2020,"ALT PIRINEU I ARAN",0.571428571428571,1.5503877046836,0,0,0,2,6,7
2020-10-15,2020,"ALT PIRINEU I ARAN",0.571428571428571,1.56650338430774,0,0,0,2,6,7
2020-10-16,2020,"ALT PIRINEU I ARAN",0.571428571428571,1.38389623042372,0,0,0,2,5,7
2020-10-17,2020,"ALT PIRINEU I ARAN",0.142857142857143,1.79414220775264,0,0,0,3,7,8
2020-10-18,2020,"ALT PIRINEU I ARAN",0.142857142857143,1.92351587969486,0,0,0,3,7,9
2020-10-19,2020,"ALT PIRINEU I ARAN",0.142857142857143,2.03794066448297,0,0,0,3,7,9
2020-10-20,2020,"ALT PIRINEU I ARAN",0.857142857142857,2.39597941195104,0,0,0,4,9,11
2020-10-21,2020,"ALT PIRINEU I ARAN",0.857142857142857,2.45047273244347,0,0,0,4,9,11
2020-10-22,2020,"ALT PIRINEU I ARAN",1,2.5798131946323,0,0,0,4,10,12
2020-10-23,2020,"ALT PIRINEU I ARAN",2.28571428571429,3.57407624509064,0,0,1,5,12,15
2020-10-24,2020,"ALT PIRINEU I ARAN",2.85714285714286,3.60576149052416,0,0,1,5,12,15
2020-10-25,2020,"ALT PIRINEU I ARAN",2.85714285714286,3.74589715532272,0,0,1,5,13,17
2020-10-26,2020,"ALT PIRINEU I ARAN",2.85714285714286,4.09766869254021,0,0,1,6,14,17
2020-10-27,2020,"ALT PIRINEU I ARAN",3.28571428571429,4.19298799742151,0,0,1,6,15,18
2020-10-28,2020,"ALT PIRINEU I ARAN",3.28571428571429,4.20778768516715,0,0,1,6,15,18
2020-10-29,2020,"ALT PIRINEU I ARAN",3.14285714285714,4.11367335754815,0,0,1,6,14,18
2020-10-30,2020,"ALT PIRINEU I ARAN",1.85714285714286,3.81389255788326,0,0,1,6,13,16
2020-10-31,2020,"ALT PIRINEU I ARAN",2,3.6203218701401,0,0,1,5,12,15
2020-11-01,2020,"ALT PIRINEU I ARAN",1.85714285714286,3.48876808764475,0,0,1,5,12,15
2020-11-02,2020,"ALT PIRINEU I ARAN",1.85714285714286,3.13409894659728,0,0,0,5,11,14
2020-11-03,2020,"ALT PIRINEU I ARAN",1.14285714285714,3.16440839317393,0,0,0,5,11,14
2020-11-04,2020,"ALT PIRINEU I ARAN",1.14285714285714,2.97935975780979,0,0,0,4,11,14
2020-11-05,2020,"ALT PIRINEU I ARAN",1.14285714285714,3.00229767207968,0,0,0,4,10,13
2020-11-06,2020,"ALT PIRINEU I ARAN",1.14285714285714,3.19389139948133,0,0,0,4,11,14
2020-11-07,2020,"ALT PIRINEU I ARAN",1.28571428571429,3.44329187602654,0,0,1,5,12,15
2020-11-08,2020,"ALT PIRINEU I ARAN",1.57142857142857,3.69672362020456,0,0,1,5,13,16
2020-11-09,2020,"ALT PIRINEU I ARAN",1.57142857142857,3.89194561413365,0,0,1,6,14,18
2020-11-10,2020,"ALT PIRINEU I ARAN",4,4.22233242340447,0,0,1,6,15,19
2020-11-11,2020,"ALT PIRINEU I ARAN",4,4.246943827293,0,0,1,6,14,18
2020-11-12,2020,"ALT PIRINEU I ARAN",4,4.25084504288433,0,0,1,6,15,18
2020-11-13,2020,"ALT PIRINEU I ARAN",4.14285714285714,4.23144964234348,0,0,1,6,15,18
2020-11-14,2020,"ALT PIRINEU I ARAN",3.85714285714286,4.12309191796867,0,0,1,6,14,18
2020-11-15,2020,"ALT PIRINEU I ARAN",7,4.06981525506647,0,0,1,6,14,17
2020-11-16,2020,"ALT PIRINEU I ARAN",7,3.96395601348263,0,0,1,6,13,17
2020-11-17,2020,"ALT PIRINEU I ARAN",11.5714285714286,3.70261679053578,0,0,1,5,12,15
2020-11-18,2020,"ALT PIRINEU I ARAN",11.5714285714286,3.528761520501,0,0,1,5,12,15
2020-11-19,2020,"ALT PIRINEU I ARAN",11.7142857142857,3.3987247664966,0,0,1,5,12,15
2020-11-20,2020,"ALT PIRINEU I ARAN",12.2857142857143,3.0096731044294,0,0,0,4,10,13
2020-11-21,2020,"ALT PIRINEU I ARAN",21.1428571428571,2.75219974648016,0,0,0,4,9,12
2020-11-22,2020,"ALT PIRINEU I ARAN",17.8571428571429,2.28172853482803,0,0,0,3,8,10
2020-11-23,2020,"ALT PIRINEU I ARAN",17.8571428571429,1.90800148210825,0,0,0,3,7,8
2020-11-24,2020,"ALT PIRINEU I ARAN",10.7142857142857,1.83405251492261,0,0,0,3,7,8
2020-11-25,2020,"ALT PIRINEU I ARAN",10.7142857142857,1.71707618331416,0,0,0,3,6,8
2020-11-26,2020,"ALT PIRINEU I ARAN",10.5714285714286,1.66491280696651,0,0,0,2,6,8
2020-11-27,2020,"ALT PIRINEU I ARAN",9.85714285714286,1.42937223013291,0,0,0,2,6,7
2020-11-28,2020,"ALT PIRINEU I ARAN",0.428571428571429,1.54975123190012,0,0,0,2,6,7
2020-11-29,2020,"ALT PIRINEU I ARAN",0.285714285714286,1.70590810489778,0,0,0,3,6,8
2020-11-30,2020,"ALT PIRINEU I ARAN",0.857142857142857,1.77977207073924,0,0,0,3,6,8
2020-12-01,2020,"ALT PIRINEU I ARAN",0.571428571428571,1.5742922300728,0,0,0,2,6,7
2020-12-02,2020,"ALT PIRINEU I ARAN",0.571428571428571,1.6270321772341,0,0,0,2,6,8
